Question,Your_Answer,Correct_Answer,Round,TimeStamp
78 - 38 = ,, 40, 1,22/8/2017 8:53:26 PM
77 - 47 = ,, 30, 1,22/8/2017 8:53:26 PM
44 - 25 = ,, 19, 2,22/8/2017 8:53:38 PM
47 + 35 = ,, 82, 2,22/8/2017 8:53:38 PM
96 - 91 = ,, 5, 2,22/8/2017 8:53:38 PM
15 - 11 = ,, 4, 2,22/8/2017 8:53:38 PM
52 + 35 = ,, 87, 2,22/8/2017 8:53:38 PM
23 + 41 = ,, 64, 2,22/8/2017 8:53:38 PM
87 - 79 = ,, 8, 2,22/8/2017 8:53:38 PM
69 - 29 = ,, 40, 2,22/8/2017 8:53:38 PM
41 - 28 = ,, 13, 2,22/8/2017 8:53:38 PM
88 - 50 = ,, 38, 2,22/8/2017 8:53:38 PM
96 - 51 = ,, 45, 2,22/8/2017 8:53:38 PM
34 + 35 = ,, 69, 2,22/8/2017 8:53:38 PM
66 - 23 = ,, 43, 2,22/8/2017 8:53:38 PM
57 + 26 = ,, 83, 2,22/8/2017 8:53:38 PM
98 - 87 = ,, 11, 2,22/8/2017 8:53:38 PM
12 + 25 = ,, 37, 2,22/8/2017 8:53:38 PM
59 - 13 = ,, 46, 2,22/8/2017 8:53:38 PM
71 - 33 = ,, 38, 2,22/8/2017 8:53:38 PM
85 - 15 = ,, 70, 2,22/8/2017 8:53:38 PM
11 + 30 = ,, 41, 2,22/8/2017 8:53:38 PM
78 - 57 = ,, 21, 1,22/8/2017 8:55:10 PM
36 + 13 = ,, 49, 1,22/8/2017 8:55:10 PM
53 + 40 = ,, 93, 1,22/8/2017 8:55:10 PM
75 - 37 = ,, 38, 1,22/8/2017 8:55:10 PM
19 - 12 = ,, 7, 1,22/8/2017 8:55:10 PM
89 - 79 = ,, 10, 1,22/8/2017 8:55:10 PM
95 - 52 = ,, 43, 1,22/8/2017 8:55:10 PM
94 - 34 = ,, 60, 1,22/8/2017 8:55:10 PM
94 - 67 = ,, 27, 1,22/8/2017 8:55:10 PM
79 - 50 = ,, 29, 1,22/8/2017 8:55:10 PM
95 - 24 = ,, 71, 1,22/8/2017 8:55:10 PM
47 + 33 = ,, 80, 1,22/8/2017 8:55:10 PM
83 - 24 = ,, 59, 1,22/8/2017 8:55:10 PM
96 - 31 = ,, 65, 1,22/8/2017 8:55:10 PM
26 + 37 = ,, 63, 1,22/8/2017 8:55:10 PM
36 + 25 = ,, 61, 1,22/8/2017 8:55:10 PM
28 + 49 = ,, 77, 1,22/8/2017 8:55:10 PM
75 - 17 = ,, 58, 1,22/8/2017 8:55:10 PM
21 - 15 = ,, 6, 1,22/8/2017 8:55:10 PM
16 + 47 = ,, 63, 1,22/8/2017 8:55:10 PM
