Question,Your_Answer,Correct_Answer,Round,TimeStamp
4 ? 24 = ,, 0, 1,28/8/2017 7:41:18 PM
2 ? 8 = ,, 16, 1,28/8/2017 7:41:18 PM
6 ? 4 = ,, 24, 1,28/8/2017 7:41:18 PM
6 ? 2 = ,, 12, 1,28/8/2017 7:41:18 PM
5 ? 5 = ,, 1, 1,28/8/2017 7:41:18 PM
1 ? 9 = ,, 0, 1,28/8/2017 7:41:18 PM
292 + 456 = ,, 748, 1,28/8/2017 7:41:18 PM
8 ? 72 = ,, 0, 1,28/8/2017 7:41:18 PM
1 ? 1 = ,, 1, 1,28/8/2017 7:41:18 PM
435 + 462 = ,, 897, 1,28/8/2017 7:41:18 PM
4 ? 4 = ,, 1, 1,28/8/2017 7:41:18 PM
7 ? 49 = ,, 0, 1,28/8/2017 7:41:18 PM
2 ? 6 = ,, 12, 1,28/8/2017 7:41:18 PM
6 ? 2 = ,, 12, 1,28/8/2017 7:41:18 PM
4 ? 28 = ,, 0, 1,28/8/2017 7:41:18 PM
169 + 813 = ,, 982, 1,28/8/2017 7:41:18 PM
3 ? 24 = ,, 0, 1,28/8/2017 7:41:18 PM
5 ? 2 = ,, 10, 1,28/8/2017 7:41:51 PM
2 ? 2 = ,, 1, 1,28/8/2017 7:41:51 PM
205 + 623 = ,, 828, 1,28/8/2017 7:41:51 PM
9 ? 4 = ,, 36, 1,28/8/2017 7:41:51 PM
800 - 534 = ,, 266, 1,28/8/2017 7:41:51 PM
56 ? 8 = ,, 7, 1,28/8/2017 7:41:51 PM
305 + 485 = ,, 790, 1,28/8/2017 7:41:51 PM
340 - 192 = ,, 148, 1,28/8/2017 7:41:51 PM
7 ? 5 = ,, 35, 1,28/8/2017 7:41:51 PM
6 ? 7 = ,, 42, 1,28/8/2017 7:41:51 PM
385 + 411 = ,, 796, 1,28/8/2017 7:41:51 PM
4 ? 4 = ,, 16, 1,28/8/2017 7:41:51 PM
1 ? 5 = ,, 5, 1,28/8/2017 7:41:51 PM
875 - 454 = ,, 421, 1,28/8/2017 7:41:51 PM
32 ? 4 = ,, 8, 1,28/8/2017 7:41:51 PM
474 + 284 = ,, 758, 1,28/8/2017 7:41:51 PM
1 ? 3 = ,, 3, 1,28/8/2017 7:41:51 PM
72 ? 9 = ,, 8, 1,28/8/2017 7:41:51 PM
7 ? 2 = ,, 14, 1,28/8/2017 7:42:04 PM
2 ? 4 = ,, 8, 1,28/8/2017 7:42:04 PM
5 ? 9 = ,, 45, 1,28/8/2017 7:42:04 PM
3 ? 9 = ,, 27, 1,28/8/2017 7:42:04 PM
327 - 212 = ,, 115, 1,28/8/2017 7:42:04 PM
3 ? 1 = ,, 3, 1,28/8/2017 7:42:04 PM
316 + 144 = ,, 460, 1,28/8/2017 7:42:04 PM
362 - 114 = ,, 248, 1,28/8/2017 7:42:04 PM
36 ? 4 = ,, 9, 1,28/8/2017 7:42:04 PM
30 ? 6 = ,, 5, 1,28/8/2017 7:42:04 PM
21 ? 3 = ,, 7, 1,28/8/2017 7:42:04 PM
9 ? 6 = ,, 54, 1,28/8/2017 7:42:04 PM
20 ? 4 = ,, 5, 1,28/8/2017 7:42:04 PM
697 - 453 = ,, 244, 1,28/8/2017 7:42:04 PM
190 + 710 = ,, 900, 1,28/8/2017 7:42:04 PM
3 ? 1 = ,, 3, 1,28/8/2017 7:42:04 PM
453 + 148 = ,, 601, 1,28/8/2017 7:42:04 PM
613 - 321 = ,, 292, 1,28/8/2017 7:42:04 PM
14 ? 7 = ,, 2, 1,28/8/2017 7:42:04 PM
40 ? 5 = ,, 8, 1,28/8/2017 7:47:14 PM
6 ? 6 = ,, 1, 1,28/8/2017 7:47:14 PM
5 ? 4 = ,, 20, 1,28/8/2017 7:47:14 PM
8 ? 2 = ,, 4, 1,28/8/2017 7:47:14 PM
431 + 255 = ,, 686, 1,28/8/2017 7:47:14 PM
301 + 210 = ,, 511, 1,28/8/2017 7:47:14 PM
696 - 487 = ,, 209, 1,28/8/2017 7:47:14 PM
653 - 152 = ,, 501, 1,28/8/2017 7:47:14 PM
588 - 114 = ,, 474, 1,28/8/2017 7:47:14 PM
2 ? 7 = ,, 14, 1,28/8/2017 7:47:14 PM
45 ? 9 = ,, 5, 1,28/8/2017 7:47:14 PM
521 - 233 = ,, 288, 1,28/8/2017 7:47:14 PM
811 - 475 = ,, 336, 1,28/8/2017 7:47:14 PM
15 ? 3 = ,, 5, 1,28/8/2017 7:47:14 PM
18 ? 2 = ,, 9, 1,28/8/2017 7:47:14 PM
9 ? 6 = ,, 54, 1,28/8/2017 7:47:14 PM
8 ? 2 = ,, 4, 1,28/8/2017 7:47:14 PM
3 ? 6 = ,, 18, 1,28/8/2017 7:47:14 PM
638 + 115 = ,, 753, 1,28/8/2017 7:47:14 PM
9 ? 2 = ,, 18, 1,28/8/2017 7:47:14 PM
616 - 220 = ,, 396, 1,28/8/2017 7:50:19 PM
816 - 152 = ,, 664, 1,28/8/2017 7:50:19 PM
366 - 220 = ,, 146, 1,28/8/2017 7:50:19 PM
246 + 223 = ,, 469, 1,28/8/2017 7:50:19 PM
747 - 376 = ,, 371, 1,28/8/2017 7:50:19 PM
253 + 121 = ,, 374, 1,28/8/2017 7:50:19 PM
651 - 239 = ,, 412, 1,28/8/2017 7:50:19 PM
326 + 499 = ,, 825, 1,28/8/2017 7:50:19 PM
158 + 547 = ,, 705, 1,28/8/2017 7:50:19 PM
720 - 550 = ,, 170, 1,28/8/2017 7:50:19 PM
893 - 391 = ,, 502, 1,28/8/2017 7:50:19 PM
288 + 640 = ,, 928, 1,28/8/2017 7:50:19 PM
456 - 115 = ,, 341, 1,28/8/2017 7:50:19 PM
666 + 111 = ,, 777, 1,28/8/2017 7:50:19 PM
761 - 323 = ,, 438, 1,28/8/2017 7:50:19 PM
183 + 692 = ,, 875, 1,28/8/2017 7:50:19 PM
851 - 130 = ,, 721, 1,28/8/2017 7:50:19 PM
645 - 518 = ,, 127, 1,28/8/2017 7:50:19 PM
270 + 306 = ,, 576, 1,28/8/2017 7:50:19 PM
825 - 416 = ,, 409, 1,28/8/2017 7:50:19 PM
